log records count: 1191

Patch 	0047FD40/01 ->Apply       (HD3), z-order = 0
Patch 	0047FD6D/01 ->Apply       (HD3), z-order = 0
Patch 	0047FDB3/04 ->Apply       (HD3), z-order = 0
Patch 	0047FDB8/04 ->Apply       (HD3), z-order = 0
Patch 	0047FE9F/04 ->Apply       (HD3), z-order = 0
Patch 	0047FEA4/04 ->Apply       (HD3), z-order = 0
HiHook	00488AF0/05 ->Apply       (HD3), z-order = 0
HiHook	00488C08/05 ->Apply       (HD3), z-order = 0
HiHook	00488CFE/05 ->Apply       (HD3), z-order = 0
HiHook	00488E3E/05 ->Apply       (HD3), z-order = 0
HiHook	00488E5E/05 ->Apply       (HD3), z-order = 0
HiHook	00491480/05 ->Apply       (HD3), z-order = 0
HiHook	00491880/05 ->Apply       (HD3), z-order = 0
HiHook	0040F350/06 ->Apply       (HD3), z-order = 0
HiHook	0041D326/05 ->Apply       (HD3), z-order = 0
HiHook	0041D346/05 ->Apply       (HD3), z-order = 0
HiHook	0041CFA8/05 ->Apply       (HD3), z-order = 0
HiHook	0041CFCB/05 ->Apply       (HD3), z-order = 0
Patch 	0049DEBF/04 ->Apply       (HD3), z-order = 0
Patch 	0049DEC4/04 ->Apply       (HD3), z-order = 0
Patch 	0049DEE9/04 ->Apply       (HD3), z-order = 0
Patch 	0049DEEE/04 ->Apply       (HD3), z-order = 0
Patch 	0049E3E3/04 ->Apply       (HD3), z-order = 0
Patch 	0049E3E8/04 ->Apply       (HD3), z-order = 0
Patch 	0049E40D/04 ->Apply       (HD3), z-order = 0
Patch 	0049E412/04 ->Apply       (HD3), z-order = 0
Patch 	0049E63E/04 ->Apply       (HD3), z-order = 0
Patch 	0049E643/04 ->Apply       (HD3), z-order = 0
Patch 	0049E668/04 ->Apply       (HD3), z-order = 0
Patch 	0049E66D/04 ->Apply       (HD3), z-order = 0
Patch 	0049E94C/04 ->Apply       (HD3), z-order = 0
Patch 	0049E951/04 ->Apply       (HD3), z-order = 0
Patch 	0049E976/04 ->Apply       (HD3), z-order = 0
Patch 	0049E97B/04 ->Apply       (HD3), z-order = 0
Patch 	0049EC08/04 ->Apply       (HD3), z-order = 0
Patch 	0049EC0D/04 ->Apply       (HD3), z-order = 0
Patch 	0049EC32/04 ->Apply       (HD3), z-order = 0
Patch 	0049EC37/04 ->Apply       (HD3), z-order = 0
Patch 	0049F3D4/04 ->Apply       (HD3), z-order = 0
Patch 	0049F3D9/04 ->Apply       (HD3), z-order = 0
